id,name_short,name,type,sex,birth,position,education,subject,party,religion,kids,twitter,instagram,facebook,youtube
fb,Brantner,Franziska Brantner,0,1,1979,1,1,1,1,,1,3,3,2,1
ft,Toncar,Florian Toncar,0,2,1979,1,1,2,2,1,3,2,2,3,2
rss,Schwarzeluehr-Suetter,Rita Schwarzeluehr-Suetter,0,1,1962,1,2,3,3,2,2,1,1,2,
tl,Lindner,Tobias Lindner,0,2,1982,2,1,3,1,,0,3,2,3,
bs,Strasser,Benjamin Strasser,0,2,1987,1,3,2,2,2,0,2,2,2,3
co,Oezdemir,Cem Oezdemir,0,2,1965,3,4,4,1,3,2,4,4,4,
mat,Theurer,Michael A. Theurer,0,2,1967,1,4,5,2,1,2,2,2,4,
ck,Kuehn,Chris Kuehn,0,2,1979,1,5,1,1,1,3,1,1,,1
jb,Brandenburg,Jens Brandenburg,0,2,1986,1,1,1,2,,0,2,2,,
acol,StAnton,St Antonys College,1,,,,,,,,,,,,
aerat,AeltestRat,Aeltestenrat,1,,,,,,,,,,,,
ai,Amnesty,Amnesty International,1,,,,,,,,,,,,
ajc,AmericanJewCom,American Jewish Committee e.V.,1,,,,,,,,,,,,
aluni,Albert,Albert-Ludwigs-Universitaet Freiburg,1,,,,,,,,,,,,
asfkw,FrauenWald,Arbeitsgemeinschaft Sozialdemokratischer Frauen Kreisverband Waldshut,1,,,,,,,,,,,,
ass,AnwaltStuggi,AnwaltService Stuttgart GmbH,1,,,,,,,,,,,,
asy,Asyl,Asylos,1,,,,,,,,,,,,
atlev,Atlant,Atlantische Initiative e.V.,1,,,,,,,,,,,,
ausamt,AuswaertAmt,Auswaertiges Amt,1,,,,,,,,,,,,
ausan,AussAngel,Ausschuss fuer die Angelegenheiten der Europaeischen Union,1,,,,,,,,,,,,
ausaus,AuswaertAuss,Auswaertiger Ausschuss,1,,,,,,,,,,,,
ausbau,AussBau,"Ausschuss fuer Bau, Wohnen, Stadtentwicklung und Kommunen",1,,,,,,,,,,,,
ausbil,AussBildung,"Ausschuss fuer Bildung, Forschung und Technikfolgenabschätzung",1,,,,,,,,,,,,
ausf ,Finanzaus,Finanzausschuss,1,,,,,,,,,,,,
ausfam,AussFamilie,"Ausschuss fuer Familie, Senioren, Frauen und Jugend",1,,,,,,,,,,,,
aush,HaushaltAus,Haushaltsausschuss,1,,,,,,,,,,,,
ausin,AussInneres,Ausschuss fuer Inneres und Heimat,1,,,,,,,,,,,,
auskul,AussKultur,Ausschuss fuer Kultur und Medien,1,,,,,,,,,,,,
ausr,AussRecht,Ausschuss fuer Recht und Verbraucherschutz,1,,,,,,,,,,,,
ausum,AussUmwelt,"Ausschuss fuer Umwelt, Naturschutz und nukleare Sicherheit",1,,,,,,,,,,,,
ausv,AussVerkehr,Ausschuss fuer Verkehr und digitale Infrastruktur,1,,,,,,,,,,,,
ausw,AussWahl,"Ausschuss fuer Wahlpruefung, Immunitaet und Geschaeftsordnung",1,,,,,,,,,,,,
avanev,AvantiEU,Avanti Europe e.V.,1,,,,,,,,,,,,
avi,AvicennaStudi,Avicenna-Studienwerk e.V.,1,,,,,,,,,,,,
baimmo,BaImmob,Bundesanstalt fuer Immobilienaufgaben,1,,,,,,,,,,,,
bb,BerufBild,Enquete-Kommission Berufliche Bildung,1,,,,,,,,,,,,
bcg,Boston,The Boston Consulting Group GmbH,1,,,,,,,,,,,,
bert,BertelsStift,Bertelsmann Stiftung,1,,,,,,,,,,,,
bmbf,BundBildung,Bundesministerium fuer Bildung und Forschung,1,,,,,,,,,,,,
bmel,BundErnaehrung,Bundesministerium fuer Ernaehrung und Landwirtschaft,1,,,,,,,,,,,,
bmf,BundFinanzen,Bundesministerium der Finanzen,1,,,,,,,,,,,,
bmj,BundJustiz,Bundesministerium der Justiz,1,,,,,,,,,,,,
bmunsv,BundUmwelt,"Bundesministerium fuer Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",1,,,,,,,,,,,,
bmwk,BundWirtschaft,Bundesministerium fuer Wirtschaft und Klimaschutz,1,,,,,,,,,,,,
bsb,BstiftBau,Bundesstiftung Baukultur,1,,,,,,,,,,,,
bsmag,BstiftMagnus,Bundesstiftung Magnus Hirschfeld,1,,,,,,,,,,,,
bsmutti,BstiftMutter,Bundesstiftung Mutter und Kind Schutz des ungeborenen Lebens,1,,,,,,,,,,,,
bvmw,BvmittWirt,Bundesverband mittelstaendische Wirtschaft e.V.,1,,,,,,,,,,,,
cam,CamUni,Cambridge University,1,,,,,,,,,,,,
covid,ParlCovid,Parlamentarisches Begleitgremium Covid-19-Pandemie,1,,,,,,,,,,,,
cuni,ColumUni,Columbia University,1,,,,,,,,,,,,
das,AIDS,Deutsche AIDS-Stiftung,1,,,,,,,,,,,,
dbu,StiftungUmwelt,Deutsche Bundesstiftung Umwelt,1,,,,,,,,,,,,
de,Energie,Deutsche Unternehmensinitiative Energieeffizienz e.V.,1,,,,,,,,,,,,
dfely,DFElysee,Deutsch-franzoesische Arbeitsgruppe zum Eysee-Vertrag,1,,,,,,,,,,,,
dfi,DFInstitut,Deutsch-Franzoesisches Institut e.V. (dfi),1,,,,,,,,,,,,
dfpv,DVParlament,Deutsch-Franzoesische Parlamentarische Versammlung,1,,,,,,,,,,,,
dgpol,DGPolitik,"Deutsch-Georgisches Forum fuer Politik, Wirtschaft und Kultur",1,,,,,,,,,,,,
dhbw,DHBWLörrach,Duale Hochschule Baden-Wuerttemberg Lörrach,1,,,,,,,,,,,,
dkp,DKParlament,Deutsch-Kanadische Parlamentariergruppe,1,,,,,,,,,,,,
ds,DStudent,Deutsches Studentenwerk e.V.,1,,,,,,,,,,,,
dsi,DSI,DSI Deutschlandstiftung Integration,1,,,,,,,,,,,,
dtf,DTStuggi,Deutsch-Türkisches Forum Stuttgart e.V.,1,,,,,,,,,,,,
ecfr,EUCouncil,European Council on Foreign Relations,1,,,,,,,,,,,,
ekuni,EberhardUni,Eberhard Karls Universität Tuebingen,1,,,,,,,,,,,,
epc,EUPolicy,European Policy Centre,1,,,,,,,,,,,,
eube,EUBewegung,Europaeische Bewegung Deutschland e.V.,1,,,,,,,,,,,,
eup,EUParlament,Europaeisches Parlament,1,,,,,,,,,,,,
euroev,EUROSOLAR,EUROSOLAR - Europaeische Vereinigung fuer Erneuerbare Energien e.V.,1,,,,,,,,,,,,
fcplay,FCPlayFair,FC Play Fair Verein fuer Integritaet und Nachhaltigkeit im Fussball e.V.,1,,,,,,,,,,,,
fdpbt,FDPBund,FDP-Bundestagsfraktion,1,,,,,,,,,,,,
fdpbv,FDPBV,FDP-Bundesvorstand,1,,,,,,,,,,,,
fdpbw,FDPBaWue,FDP Baden-Wuerttemberg,1,,,,,,,,,,,,
fdpdvp,FDPDVP,FDP DVP-Landtagsfraktion,1,,,,,,,,,,,,
fdps,FDPStuggi,FDP-Bezirksvorstand Region Stuttgart,1,,,,,,,,,,,,
fhr,EvangFHR,Evangelische Fachhochschule fuer Sozialwesen Reutlingen,1,,,,,,,,,,,,
fmg,Finanzmarkt,Finanzmarktgremium,1,,,,,,,,,,,,
fresh,Freshfields,Freshfields Bruckhaus Deringer LLP,1,,,,,,,,,,,,
fried,Friedrich,Friedrich-Naumann-Stiftung fuer die Freiheit,1,,,,,,,,,,,,
friends,FriendsEU,Friends of Europe,1,,,,,,,,,,,,
gemaus,GemAusschuss,Gemeinsamer Ausschuss,1,,,,,,,,,,,,
geml,GemeindeLauch,Gemeinde Lauchringen,1,,,,,,,,,,,,
grbw,GrueneBW,Gruene Baden-Wuerttemberg,1,,,,,,,,,,,,
grj,GrueneJug,Gruene Jugend,1,,,,,,,,,,,,
grjbw,GrueneJBW,Gruene Jugend Baden-Wuerttemberg,1,,,,,,,,,,,,
grs,GAnlagen,Gesellschaft fuer Anlagen- und Reaktorsicherheit mbH,1,,,,,,,,,,,,
gsev,GStudium,Gesellschaft zum Studium strukturpolitischer Fragen e.V.,1,,,,,,,,,,,,
haev,Humanity,Humanity in Action e.V.,1,,,,,,,,,,,,
hsev,HeinrichBoell,Heinrich-Boell-Stiftung e.V.,1,,,,,,,,,,,,
insteup,InstitutEUP,Institut fuer Europaeische Politik e.V. (IEP),1,,,,,,,,,,,,
instf,InstFreedom,Institute for Freedom of Faith & Security in Europe,1,,,,,,,,,,,,
instm,InstitutM,Institut fuer Mobilität der Universität St. Gallen,1,,,,,,,,,,,,
instp,InstitutParis,Institut d Etudes Politiques Paris,1,,,,,,,,,,,,
intpr,IntPreis,Internationaler Preis des Westfälischen Weltfriedens,1,,,,,,,,,,,,
jac,Jacques,Jacques Delors Centre,1,,,,,,,,,,,,
jlbw,JungLibBW,Junge Liberalen Baden-Wuerttemberg,1,,,,,,,,,,,,
kfw,Kreditanstalt,Kreditanstalt fuer Wiederaufbau (KfW),1,,,,,,,,,,,,
kit,KarlsruheInstitut,Karlsruher Institut fuer Technologie,1,,,,,,,,,,,,
klb,KreisratBoeb,Kreisrat im Landkreis Boeblingen,1,,,,,,,,,,,,
klw,KreisratWald,Kreistag Landkreis Waldshut,1,,,,,,,,,,,,
koalbw,KoalitionAusBW,Koalitionsausschuss Landesregierung Baden-Wuerttemberg,1,,,,,,,,,,,,
konaush,HaushaltKontroll,Haushalts-Kontrollausschuss,1,,,,,,,,,,,,
konrad,KonZus,Deutsche Industrieforschungsgemeinschaft Konrad Zuse e.V.,1,,,,,,,,,,,,
kvg,KreisverbandGerm,Kreisverband Germersheim,1,,,,,,,,,,,,
kvgr,KreisverstandGr,Kreisvorstand BUENDNIS 90 DIE GRUENEN Tuebingen,1,,,,,,,,,,,,
lfafdp,LFAInnenFDP,Landesfachausschusses (LFA) Innen und Recht der FDP Baden-Wuerttemberg,1,,,,,,,,,,,,
lgs,LandesgerichtStuggi,Landgericht Stuttgart,1,,,,,,,,,,,,
ltbw,LandtagBW,Landtag Baden-Wuerttemberg,1,,,,,,,,,,,,
lvfdp,LvFDP,Landesvorstand FDP,1,,,,,,,,,,,,
lvgrbw,LvGruenenBW,Landesvorstand Bündnis 90/Die Gruenen Baden-Wuerttemberg,1,,,,,,,,,,,,
lvgrrlp,LvGruenenRLP,Landesvorstand der Gruenen Jugend Rheinlandpfalz,1,,,,,,,,,,,,
lvgrsw,LvGruenenSW,Landesvorsitz der Suedwest-Gruenen,1,,,,,,,,,,,,
lvjlbw,LvJungeLiberaleBW,Landesvorstand der Jungen Liberalen Baden-Wuerttemberg,1,,,,,,,,,,,,
lvspd,LvSPDBW,Landesvorstand der SPD Baden-Wuerttemberg,1,,,,,,,,,,,,
marsh,MarshallFund,German Marshall Fund of the US,1,,,,,,,,,,,,
nato,NATOParl,Parlamentarische Versammlung NATO,1,,,,,,,,,,,,
otto,OttoGuericke,Arbeitsgemeinschaft industrieller Forschungsvereinigungen Otto von Guericke e.V.,1,,,,,,,,,,,,
prog,ProgressivesZ,Das Progressive Zentrum e.V.,1,,,,,,,,,,,,
pror,ProRegio,Pro RegioStadtbahn e.V.,1,,,,,,,,,,,,
reghb,RegioHB,Regionalverband Hochrhein-Bodensee,1,,,,,,,,,,,,
rlpgr,RLPGruenen,Rheinland-Pfaelzischen Landesgruppe der Gruenen Bundestagsabgeordneten,1,,,,,,,,,,,,
rms,ReinholdMS,Reinhold-Maier-Stiftung,1,,,,,,,,,,,,
rpaus,RechnungAus,Rechnungspruefungsausschuss,1,,,,,,,,,,,,
rwaus,RichterwAus,Richterwahlausschuss,1,,,,,,,,,,,,
sb,Schwarzwald,Schwarzwaelder Bote,1,,,,,,,,,,,,
sefep,Agora,Agora Verkehrswende Smart Energy for Europe Plattform gemeinnuetzige GmbH,1,,,,,,,,,,,,
spdkw,SPDKreisWaldshut,SPD-Kreisverband Waldshut,1,,,,,,,,,,,,
srwoe,StadtratWoe,Stadtrat Woerth am Rhein,1,,,,,,,,,,,,
start,startStiftung,START-Stiftung gemeinnuetzige GmbH,1,,,,,,,,,,,,
stb,StBildung,Stiftung: Bildung Egitim,1,,,,,,,,,,,,
stg,StGedenken,Stiftung Gedenken und Frieden,1,,,,,,,,,,,,
stnev,StNeueV,Stiftung Neue Verantwortung e.V.,1,,,,,,,,,,,,
stvev,StVerant,Stiftung Verantwortungseigentum e.V.,1,,,,,,,,,,,,
swr,SWR,SWR,1,,,,,,,,,,,,
tdev,TDStudierende,Tuerkisch-Deutsche Studierenden und Akademiker Plattform e.V.,1,,,,,,,,,,,,
ths,Theodor,Theodor-Heuss-Stiftung,1,,,,,,,,,,,,
tweuev,TuWasEuropa,TuWas fuer Europa e.V.,1,,,,,,,,,,,,
twsev,TuWasGemeinsinn,TuWas Stiftung fuer Gemeinsinn,1,,,,,,,,,,,,
ub,Ullstein,Ullstein Buchverlage GmbH,1,,,,,,,,,,,,
unc,UnComission,UN Commission on the Status of Women,1,,,,,,,,,,,,
und,UNDevelopment,United Nations Development Fund for Women,1,,,,,,,,,,,,
unih,UniHeidelberg,Universitaet Heidelberg,1,,,,,,,,,,,,
unik ,UniKonstanz,Universitaet Konstanz,1,,,,,,,,,,,,
unika,UniKarlsruhe,Universitaet Karlsruhe,1,,,,,,,,,,,,
unim,UniMannheim,Universitaet Mannheim,1,,,,,,,,,,,,
unir,UniRegensburg,Universitaet Regensburg,1,,,,,,,,,,,,
uniz,UniZürich,Universitaet Zürich,1,,,,,,,,,,,,
vaus,VerteidigungsAus,Verteidigungsausschuss,1,,,,,,,,,,,,
vdfg,VDFGesellschaften,Vereinigung Deutsch-Franzoesischer Gesellschaften fuer Europa e.V. (VDFG),1,,,,,,,,,,,,
vertr,Vertrauensgremium,Vertrauensgremium fuer die geheimen Haushaltsplaene der Nachrichtendienste des Bundes,1,,,,,,,,,,,,
vmaus,VermittlungsAus,Vermittlungsausschuss,1,,,,,,,,,,,,
vphev,VerbandprivateHS,Verband der privaten Hochschulen e.V.,1,,,,,,,,,,,,
vwev,VerbandWohn,Verband Wohneigentum e.V.,1,,,,,,,,,,,,
waus,Wahlaus,Wahlausschuss,1,,,,,,,,,,,,
wds,WolfgangStiftung,Wolfgang-Doering-Stiftung,1,,,,,,,,,,,,
winne,WinneHermann,Bundestagsabgeordnete Winne Hermann,1,,,,,,,,,,,,
wsaus,WirtschaftsAus,Wirtschaftsausschuss,1,,,,,,,,,,,,
wsf,Wirtschaftsforum,Wirtschaftsforum der SPD e.V.,1,,,,,,,,,,,,
wwlev,WestfaleneV,Wirtschaftliche Gesellschaft fuer Westfalen und Lippe e.V. (WWL),1,,,,,,,,,,,,
yecev,YoungEconomyeV,Young Economy Club e.V.,1,,,,,,,,,,,,
zdf,ZDF,ZDF,1,,,,,,,,,,,,
zentr,Zentrum,Zentrum fuer Internationale Friedenseinsätze gemeinnuetzige GmbH,1,,,,,,,,,,,,
zev,ZukunftsforumeV,Zukunftsforum Oeffentliche Sicherheit e.V.,1,,,,,,,,,,,,
